create table USERINFO (
	uSER_ID INT,
	USERNAME VARCHAR2(30),
	EMAIL VARCHAR2(30),
	PASSWORD VARCHAR2(30),
	LVL INT
);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (1, 'Tres-Zap', '1@gmail.com', 1, 4);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (2, 'Voyatouch', '2@gmail.com', 1, 4);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (3, 'Keylex', '3@gmail.com', 1, 3);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (4, 'Mat Lam Tam', '4@gmail.com', 1, 5);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (5, 'Stringtough', '5@gmail.com', 1, 1);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (6, 'Sub-Ex', '6@gmail.com', 1, 3);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (7, 'Asoka', '7@gmail.com', 1, 5);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (8, 'Bitchip', '8@gmail.com', 1, 2);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (9, 'Greenlam', '9@gmail.com', 1, 2);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (10, 'Flowdesk', '10@gmail.com', 1, 4);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (11, 'Y-find', '11@gmail.com', 1, 4);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (12, 'Vagram', '12@gmail.com', 1, 5);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (13, 'Toughjoyfax', '13@gmail.com', 1, 5);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (14, 'Asoka', '14@gmail.com', 1, 3);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (15, 'Bamity', '15@gmail.com', 1, 4);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (16, 'Hatity', '16@gmail.com', 1, 4);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (17, 'Domainer', '17@gmail.com', 1, 4);
insert into USERINFO (uSER_ID, USERNAME, EMAIL, PASSWORD, LVL) values (18, 'Daltfresh', '18@gmail.com', 1, 5);
